date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:46	86059/86059	---MCZ	200	added ('OK')	image/png	etag:%2260079aaf-1502b%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/fr4-txt.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/fr4-txt.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:46	125523/125523	---MCZ	200	added ('OK')	image/png	etag:%2260079b9d-1ea53%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/fr3-1.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/fr3-1.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:46	130337/130337	---MCZ	200	added ('OK')	image/png	etag:%2260079b90-1fd21%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/fr3-2.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/fr3-2.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:47	121366/121366	---MCZ	200	added ('OK')	image/png	etag:%2260079b7f-1da16%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/fr3-3.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/fr3-3.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:47	159803/159803	---MCZ	200	added ('OK')	image/png	etag:%2260079ba9-2703b%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/fr3-4.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/fr3-4.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:47	56170/56170	---MCZ	200	added ('OK')	image/png	etag:%225ffbd317-db6a%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/fr4-txt2.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/fr4-txt2.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:48	469696/469696	---MCZ	200	added ('OK')	image/jpeg	etag:%225ff7df6c-72ac0%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/d2.jpg	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/d2.jpg	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:48	172044/172044	---MCZ	200	added ('OK')	image/jpeg	etag:%225ff6cf92-2a00c%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/m2.jpg	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/m2.jpg	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:49	230186/230186	---MCZ	200	added ('OK')	image/jpeg	etag:%225ff7df42-3832a%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/d1.jpg	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/d1.jpg	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:49	322317/322317	---MCZ	200	added ('OK')	image/jpeg	etag:%225ff6cf48-4eb0d%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/m1.jpg	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/m1.jpg	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
